Id;Name;Nation;Second Nation;International Apps;International Goals;International Assists;Estimated Value;Club Playing;Division Playing;Club Contracted;Division Contracted;Positions Short;Stanley Cups Won;Birth Town;Date Of Birth;Age;Player Roles;Handedness;Junior Preference;Defensive Role;Offensive Role;Morale;Favourite Number;Squad Number;Int. Squad Number;Determination;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
13;Florian Baltram;Austria;---;30;6;7;12687;EC Die Adler Kitzbühel;Alps League;EC Die Adler Kitzbühel;Alps League;C;0;Vienna;3/25/1997;26;(C) Finesse;Left Handed;Major Junior;9;14;15;0;21;21;19;1;14;10;5;7;10;14;13;7;9;6;1;10;8;4;3;4;10;9;8;5;5;7;5;8;10;1;1;1;1;1;
14;Jirí Jindrich;Czech Republic;---;0;0;0;14723;HC Skoda Plzen;Czech Extraliga;HC Skoda Plzen;Czech Extraliga;G;0;Bohumín;6/10/2002;21;(G) Stand-up style;Left Handed;None;20;1;16;38;38;38;5;3;7;18;1;14;14;1;19;9;12;10;1;9;16;12;1;1;1;1;1;7;10;11;1;10;1;8;9;8;8;8;
15;Daniel Ban;Austria;---;12;1;2;18475;Dornbirner EC Bulldogs;Erste Bank Eishockey Liga;Dornbirner EC Bulldogs;Erste Bank Eishockey Liga;RW;0;Klagenfurt;11/11/1993;30;(W) Defensive;Left Handed;Europe;20;3;20;0;0;13;14;8;6;11;8;9;10;4;10;9;10;5;5;9;8;4;9;9;6;4;4;6;9;11;3;5;4;1;1;1;1;1;
16;Sascha Bauer;Austria;---;10;3;0;12687;EC Die Adler Kitzbühel;Alps League;EC Die Adler Kitzbühel;Alps League;LW;0;---;1/30/1995;29;(W) Sniper (Finesse;Left Handed;None;5;19;11;0;0;13;10;1;9;8;12;7;5;7;3;9;7;4;3;9;7;6;4;6;8;2;9;5;4;7;7;6;11;1;1;1;1;1;
17;Benjamin Baumgartner;Austria;---;0;0;0;21275;EV Vienna Capitals;Erste Bank Eishockey Liga;EV Vienna Capitals;Erste Bank Eishockey Liga;C;0;Zell am See;4/22/2000;23;(C) Finesse;Left Handed;Europe;8;20;20;0;0;15;13;8;13;11;9;12;8;13;11;18;9;9;3;18;14;8;3;5;13;12;11;7;4;4;5;14;11;1;1;1;1;1;
18;Corey Crowley;United States;---;0;0;0;3062;Wheatfield Junior Blades;Empire Junior League;Wheatfield Junior Blades;Empire Junior League;RD;0;Plattsburgh;9/20/2006;17;(D) Rugged;Right Handed;None;17;3;20;4;4;4;10;9;1;8;7;9;12;1;12;6;5;9;6;6;6;7;5;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;
19;Georgy Kalyuzhny;Belarus;---;0;0;0;5083;Shakhter Soligorsk;Belarus League;Shakhter Soligorsk;Belarus League;C;0;Vitebsk;5/11/2001;22;(C) Power Forward;Right Handed;None;10;15;17;77;77;77;11;9;14;12;8;9;10;12;13;10;10;8;7;10;11;8;3;12;4;8;9;4;3;6;5;2;11;1;1;1;1;1;
20;Corey Boyle;United States;---;0;0;0;7250;Miramichi Timberwolves;MHL;Miramichi Timberwolves;MHL;C, RW;0;Franklin;6/16/2007;16;(C) Finesse;Right Handed;None;12;12;20;33;33;33;7;5;8;6;1;11;11;11;6;9;7;7;3;10;9;4;4;4;8;7;5;3;4;4;2;8;5;1;1;1;1;1;
21;Johannes Bischofberger;Austria;---;6;1;1;4429;Hamburger SV;Oberliga;Hamburger SV;Oberliga;LW;0;Dornbirn;7/13/1994;29;(W) Playmaker (Finesse);Left Handed;Europe;8;16;16;94;94;94;7;9;9;3;10;7;6;10;5;7;7;3;3;7;10;1;4;4;9;1;8;8;3;7;4;8;6;1;1;1;1;1;
22;Vince Farnham;United States;---;0;0;0;1843;Western Michigan Broncos;NCHC;Western Michigan Broncos;NCHC;C;0;Biloxi;8/1/2003;20;(C) Playmaker;Left Handed;None;3;20;20;56;56;56;13;8;8;7;13;4;5;7;5;12;6;7;1;7;10;6;1;7;4;5;5;7;2;2;2;4;7;1;1;1;1;1;
23;Marco Brucker;Austria;---;3;1;0;18867;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;C;0;Linz;5/14/1991;32;(C) Defensive;Right Handed;Europe;12;8;14;89;89;89;7;10;6;5;11;9;7;4;6;2;4;2;3;3;5;4;7;3;6;9;5;5;5;10;6;5;5;1;1;1;1;1;
24;Vladimír Horcicka;Czech Republic;---;0;0;0;17600;Gatineau Olympiques;QMJHL;Gatineau Olympiques;QMJHL;LD;0;Klatovy;3/3/2005;18;(D) Defensive (Physical);Right Handed;None;12;8;20;55;55;55;9;5;1;3;8;2;17;1;15;6;3;8;5;6;7;9;5;1;1;1;1;1;5;6;1;1;1;1;1;1;1;1;
25;Nico Brunner;Austria;---;17;0;1;12687;FBI VEU Feldkirch;Alps League;FBI VEU Feldkirch;Alps League;LD;0;Villach;9/17/1992;31;(D) Standard;Left Handed;Europe;16;8;20;0;0;2;9;8;4;3;10;8;5;4;5;3;2;8;13;5;5;6;10;5;4;3;5;9;9;11;4;6;5;1;1;1;1;1;
26;Tobias Kink;Germany;---;0;0;0;9300;EHC Bayreuth;DEL2;EHC Bayreuth;DEL2;RD, RW;0;Karlsruhe;3/6/2002;21;(D) Defensive (Physical);Left Handed;None;15;10;16;8;8;8;8;3;6;10;10;13;14;6;9;8;7;12;11;8;12;20;12;3;5;2;3;4;11;11;6;3;4;1;1;1;1;1;
27;Alexander Cijan;Austria;---;44;16;5;18867;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;LW, C, RW;0;Klagenfurt;5/16/1994;29;(W) All around;Left Handed;Europe;9;16;17;0;0;12;17;8;7;15;10;9;7;7;9;10;10;8;5;10;10;8;11;6;9;5;8;5;7;11;7;3;7;1;1;1;1;1;
28;Philipp Cirtek;Austria;---;0;0;0;12687;EC Die Adler Kitzbühel;Alps League;EC Die Adler Kitzbühel;Alps League;LW;0;Klagenfurt;1/3/1994;30;(W) Grinder;Left Handed;Europe;12;10;17;0;0;19;5;6;4;11;9;8;5;4;7;4;6;3;7;6;5;9;7;6;8;1;4;5;4;7;4;3;6;1;1;1;1;1;
29;Juha-Matti Korvakangas;Finland;---;0;0;0;5000;Espoon Blues C-Jrs;Fin C-Jr SM-Liiga;Espoon Blues C-Jrs;Fin C-Jr SM-Liiga;C;0;Lappeenranta;3/16/2007;16;(C) Playmaker;Left Handed;None;6;20;20;51;51;51;18;3;13;10;4;14;9;13;12;10;8;8;2;11;11;7;1;9;11;11;8;8;6;1;7;7;8;1;1;1;1;1;
31;Thomas Dechel;Austria;---;3;0;0;18867;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;G;0;---;11/11/1992;31;(G) Hybrid style;Left Handed;None;20;1;16;0;0;31;9;7;4;5;8;10;5;1;3;4;6;6;1;5;5;5;1;1;1;1;1;5;7;12;1;6;1;9;8;7;6;6;
32;Kane Devine;United States;---;0;0;0;1312;Michigan Midget Ice Dogs;USU16E;Michigan Midget Ice Dogs;USU16E;LD;0;Plymouth;12/20/2008;15;(D) Defensive;Left Handed;None;19;3;19;2;2;2;15;17;4;12;8;10;14;2;15;4;8;7;7;8;9;6;9;1;4;1;2;2;5;7;1;2;1;1;1;1;1;1;
33;Peyton Linnell;United States;---;0;0;0;2562;Team Illinois;USU16E;Team Illinois;USU16E;RW;0;Vernon Hills;10/19/2008;15;(W) Defensive;Right Handed;None;20;2;18;63;63;63;9;3;1;4;9;10;3;1;6;9;7;7;4;3;9;9;8;1;4;1;4;5;7;8;2;3;3;1;1;1;1;1;
34;Brant Kuster;United States;---;0;0;0;1312;Plymouth Midgets;USU16E;Plymouth Midgets;USU16E;LD, RD, RW;0;Plymouth;1/11/2008;16;(W) Power Forward;Left Handed;None;13;13;17;61;61;61;15;9;12;17;10;2;5;4;5;6;11;4;8;7;9;7;4;6;3;2;4;3;1;6;3;2;6;1;1;1;1;1;
36;Patrick Divjak;Austria;---;0;0;0;2790;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;LW, RW;0;Vienna;3/2/1989;34;(W) Playmaker (Finesse);Left Handed;None;10;13;20;0;97;0;6;1;9;10;11;11;11;10;8;1;1;1;1;1;3;1;3;5;7;1;4;7;3;7;3;5;7;1;1;1;1;1;
37;Kanzaburo Koyasu;Japan;---;0;0;0;3062;Wheatfield Junior Blades;Empire Junior League;Wheatfield Junior Blades;Empire Junior League;G;0;Miyazaki;12/5/2003;20;(G) Hybrid style;Right Handed;None;20;1;17;33;33;33;10;15;1;9;2;8;4;1;8;1;11;5;1;1;8;1;1;1;1;1;1;3;4;5;1;2;1;6;3;2;1;5;
38;Christoph Draschkowitz;Austria;---;3;0;0;2790;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;RW;0;Vienna;4/25/1989;34;(W) Power Forward;Right Handed;Europe;9;14;8;3;3;0;9;6;7;10;9;7;5;8;9;1;1;1;5;1;4;4;3;7;4;2;6;3;4;7;5;4;6;1;1;1;1;1;
39;Lukas Draschkowitz;Austria;---;0;0;0;2790;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;LW, C;0;Vienna;4/25/1989;34;(C) Power Forward;Left Handed;None;6;17;19;17;77;0;12;12;9;10;8;8;9;7;10;5;2;2;6;2;4;4;4;8;2;8;4;4;4;6;5;3;3;1;1;1;1;1;
40;Christoph Duller;Austria;---;67;2;10;22412;EC Red Bull Salzburg;Erste Bank Eishockey Liga;EC Red Bull Salzburg;Erste Bank Eishockey Liga;RD;0;Klagenfurt;2/14/1994;30;(D) Rugged;Right Handed;None;20;4;20;0;0;5;18;8;5;9;8;10;9;4;8;8;9;9;11;9;9;12;9;5;7;4;7;5;6;9;5;6;5;1;1;1;1;1;
41;Alexander Wallace;United States;---;0;0;0;4695;Grosse Pointe North;HS-MI;Grosse Pointe North;HS-MI;RW;0;Grosse Pointe;12/21/2007;16;(W) Defensive (Physical);Right Handed;None;16;13;20;30;30;30;8;1;7;12;8;9;10;6;14;10;10;13;12;9;11;10;13;8;8;5;8;10;12;11;4;9;5;1;1;1;1;1;
43;Kevin Essmann;Austria;---;0;0;0;21275;EV Vienna Capitals;Erste Bank Eishockey Liga;EV Vienna Capitals;Erste Bank Eishockey Liga;C, RW;0;Villach;1/4/1991;33;(C) Defensive (Physical);Right Handed;None;14;12;20;0;0;0;7;6;7;10;10;10;7;7;11;6;6;3;7;7;6;10;8;7;4;11;7;3;5;11;1;4;2;1;1;1;1;1;
44;Léo-Guy Thomas;Canada;---;0;0;0;1402;McGill Redmen;CIS;McGill Redmen;CIS;LW, C;0;Laval;8/19/2002;21;(C) Playmaker (Physical);Left Handed;None;12;17;1;12;12;12;15;14;7;3;18;2;1;6;4;6;3;11;4;6;12;14;1;5;2;4;5;3;1;1;3;1;6;1;1;1;1;1;
45;Bernhard Fechtig;Austria;---;53;3;11;21275;EV Vienna Capitals;Erste Bank Eishockey Liga;EV Vienna Capitals;Erste Bank Eishockey Liga;LD;0;Dornbirn;1/6/1993;31;(D) Defensive;Left Handed;Europe;12;10;20;93;93;93;10;13;4;7;7;10;8;4;9;8;8;8;15;5;7;4;8;3;6;3;5;5;10;12;4;5;4;1;1;1;1;1;
46;Axel Feichter;Austria;Sweden;0;0;0;2790;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;G;0;Stockholm;3/30/1994;29;(G) Hybrid style;Left Handed;None;20;1;19;0;0;0;12;5;6;7;7;7;4;1;5;4;6;8;1;3;10;13;1;1;1;1;1;1;3;11;1;1;1;6;7;7;4;10;
47;Alexander Feichtner;Austria;---;27;2;7;20927;EC Klagenfurter AC;Erste Bank Eishockey Liga;EC Klagenfurter AC;Erste Bank Eishockey Liga;C;0;Salzburg;4/23/1989;34;(C) Finesse;Left Handed;Europe;6;14;18;0;58;58;11;12;10;8;10;9;13;10;9;5;3;2;3;5;2;2;5;5;8;11;6;6;4;9;4;7;7;1;1;1;1;1;
48;Stephan Fellinger;Austria;---;0;0;0;20927;EC Klagenfurter AC;Erste Bank Eishockey Liga;EC Klagenfurter AC;Erste Bank Eishockey Liga;C;0;Tulln;7/5/1994;29;(C) Defensive (Finesse);Right Handed;None;20;3;20;0;0;0;5;2;8;12;9;9;9;7;10;6;5;6;2;6;6;6;7;3;4;9;6;5;7;9;6;4;5;1;1;1;1;1;
49;Laurent Cornelis;Belgium;---;20;0;3;1317;Bulldogs Liege U23;Bel U23;Bulldogs Liege U23;Bel U23;LD;0;Eupen;11/12/2004;19;(D) Defensive (Physical);Left Handed;None;12;9;1;24;24;24;14;4;2;6;4;3;3;1;3;7;6;14;6;8;14;10;9;1;1;1;2;1;7;7;3;2;1;1;1;1;1;1;
50;Mike Green;Great Britain;---;9;0;5;15000;Cardiff Devils;Elite League;Cardiff Devils;Elite League;LD, RD;0;Wattens;6/22/2004;19;(D) Playmaker;Right Handed;None;15;11;13;20;20;20;9;7;2;1;9;1;10;6;15;14;2;6;4;14;13;14;6;1;2;1;4;4;8;5;1;5;1;1;1;1;1;1;
51;Mario Fischer;Austria;---;17;2;3;19805;EC Villacher SV;Erste Bank Eishockey Liga;EC Villacher SV;Erste Bank Eishockey Liga;LW;0;Vienna;5/5/1989;34;(W) Grinder;Left Handed;Europe;14;13;15;50;50;50;12;8;6;12;7;7;12;4;10;5;3;2;9;3;3;5;10;8;5;5;3;7;7;9;6;7;7;1;1;1;1;1;
52;Thomas Becker;United States;---;0;0;0;16615;Peterborough Petes;OHL;Peterborough Petes;OHL;C, RW;0;Marquette;6/10/2003;20;(C) Enforcer;Left Handed;None;14;12;19;43;43;43;13;11;4;13;8;13;12;3;18;8;9;16;13;9;16;18;7;6;6;12;7;7;7;8;4;6;4;1;1;1;1;1;
53;Rufin Wisniewski;Poland;---;16;4;3;5375;HC GKS Katowice;Elite League;HC GKS Katowice;Elite League;LD, RD;0;Wielun;5/30/2002;21;(D) Standard;Right Handed;None;9;13;19;11;11;8;13;15;2;6;10;3;10;5;3;6;8;10;2;6;11;11;6;2;4;1;5;7;5;5;5;2;2;1;1;1;1;1;
54;Trey Morris;United States;---;0;0;0;5312;Cloquet;HS-MN;Cloquet;HS-MN;LD, RD;0;Osseo;7/8/2009;14;(D) Defensive (Physical);Right Handed;None;12;11;20;28;28;28;11;5;4;7;6;9;4;2;8;7;6;10;7;9;8;6;9;1;3;1;1;1;9;6;1;2;1;1;1;1;1;1;
56;Jan-Erik Niiranen;Finland;---;0;0;0;3476;Jeppis HT Pietarsaari;Finnish 2nd Div;Jeppis HT Pietarsaari;Finnish 2nd Div;RW;0;Turku;9/27/2002;21;(W) Sniper;Right Handed;None;5;15;20;30;30;30;12;4;8;7;11;12;13;10;10;12;8;8;4;15;16;8;1;10;9;1;6;5;3;4;10;7;9;1;1;1;1;1;
57;David Franz;Austria;---;3;0;1;3632;Tilburg Trappers;Oberliga;Tilburg Trappers;Oberliga;RW;0;---;10/28/1992;31;(W) Defensive;Right Handed;None;17;6;10;0;0;18;16;7;3;5;7;9;5;5;5;9;8;4;4;4;8;9;7;4;5;2;6;5;6;9;5;3;5;1;1;1;1;1;
59;Jonas Burke;United States;---;0;0;0;1843;Miami Redhawks;NCHC;Miami Redhawks;NCHC;C;0;Detroit;2/15/2003;21;(C) Playmaker;Right Handed;None;10;13;20;66;66;66;18;6;10;7;3;11;7;10;6;15;4;7;1;15;14;7;1;6;6;9;7;7;3;1;2;7;6;1;1;1;1;1;
60;Daniel Frischmann;Austria;---;0;0;0;12687;EHC Alge Elastic Lustenau;Alps League;EHC Alge Elastic Lustenau;Alps League;C;0;---;1/20/1992;32;(C) Defensive (Finesse);Right Handed;None;17;7;17;0;0;0;17;2;6;6;10;7;10;4;10;6;4;5;2;7;4;4;8;3;6;9;3;4;7;9;2;7;2;1;1;1;1;1;
61;Gaetan Juneau;Canada;---;0;0;0;16312;Cincinnati Cyclones;ECHL;Cincinnati Cyclones;ECHL;C, RW;0;Prevost;2/3/2002;22;(C) All around;Right Handed;None;11;15;20;18;18;18;15;4;5;7;7;7;8;9;11;16;7;8;5;14;14;8;5;10;6;12;10;8;8;9;10;5;8;1;1;1;1;1;
62;Dennis Charyszyn;United States;---;0;0;0;2174;Boston University Terriers;HE;Boston University Terriers;HE;LW, C;0;Grafton;7/23/2002;21;(W) Finesse;Left Handed;None;9;14;20;38;38;38;5;1;6;1;6;12;9;10;7;13;4;7;1;14;13;4;5;6;6;1;8;5;3;1;4;8;6;1;1;1;1;1;
63;Jürgen Fussenegger;Austria;---;8;0;0;13562;EHC Bregenzerwald;Alps League;EHC Bregenzerwald;Alps League;LD;0;Dornbirn;6/13/1989;34;(D) Standard;Left Handed;None;8;12;20;0;0;2;15;11;7;4;7;8;8;7;7;6;7;5;5;7;6;5;4;2;5;1;4;5;6;10;5;4;4;1;1;1;1;1;
64;Aki-Petteri Leino;Finland;---;0;0;0;5000;Espoon Blues C-Jrs;Fin C-Jr SM-Liiga;Espoon Blues C-Jrs;Fin C-Jr SM-Liiga;C;0;Lahti;6/3/2007;16;(C) Defensive;Left Handed;None;17;6;14;54;54;54;18;10;4;3;10;9;7;4;12;8;11;11;6;7;8;8;9;3;4;9;3;7;9;9;3;3;1;1;1;1;1;1;
66;Stefan Gaffal;Austria;---;19;2;3;4759;ESC Moskitos Essen;Oberliga;ESC Moskitos Essen;Oberliga;RW;0;Linz;11/24/1996;27;(W) All around;Right Handed;None;13;11;16;0;0;16;5;4;5;15;8;11;7;5;4;8;10;6;3;8;5;6;8;5;2;4;6;5;5;9;3;4;5;1;1;1;1;1;
67;Manuel Ganahl;Austria;---;61;11;14;18867;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;C, RW;0;Bludenz;7/12/1990;33;(W) All around;Left Handed;Europe;6;16;18;17;17;17;10;8;12;9;6;10;11;8;10;8;8;6;5;8;9;7;8;10;7;4;9;9;6;11;9;8;11;1;1;1;1;1;
68;George Richard;United States;---;0;0;0;4822;Fort Frances Lakers;SIJHL;Fort Frances Lakers;SIJHL;G;0;Detroit;4/23/2004;19;(G) Hybrid style;Left Handed;None;20;1;20;35;35;35;4;13;3;12;4;9;16;1;13;1;11;10;1;3;10;1;1;1;1;1;1;1;1;6;1;5;1;6;5;4;1;7;
70;Mate Gaspar;Austria;---;0;0;0;2790;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;LW;0;Linz;2/2/1997;27;(W) Sniper;Right Handed;None;3;20;18;0;0;16;4;2;12;2;3;8;6;13;3;6;6;3;1;2;5;15;1;9;9;1;9;1;1;3;8;4;9;1;1;1;1;1;
71;Karl Pousset;Canada;---;0;0;0;18607;South Carolina Stingrays;ECHL;South Carolina Stingrays;ECHL;C;0;Verdun;11/17/2002;21;(C) Playmaker;Right Handed;None;9;14;20;53;53;53;13;1;11;3;12;7;6;12;4;15;7;7;1;8;15;7;1;8;8;9;8;8;1;3;5;7;3;1;1;1;1;1;
72;Benny Vinetti;Canada;---;0;0;0;15222;Niagara IceDogs;OHL;Niagara IceDogs;OHL;C, RW;0;Cambridge;3/17/2003;20;(C) Power Forward;Right Handed;None;8;17;20;41;41;41;6;10;11;14;8;12;14;12;17;8;7;9;5;8;15;11;3;10;2;7;4;1;1;3;4;1;8;1;1;1;1;1;
74;Bryant Robichaud;United States;---;0;0;0;1312;Philadelphia Junior Flyers U16;USU16E;Philadelphia Junior Flyers U16;USU16E;LW;0;Upper Saint Clair;6/15/2008;15;(W) All around;Left Handed;None;10;10;20;32;32;32;12;3;2;1;10;1;1;1;5;6;3;7;2;6;5;2;7;4;3;1;3;6;6;6;3;3;4;1;1;1;1;1;
75;Ruslan Gelfanov;Austria;Russia;33;9;10;4386;ESC Wedemark Scorpions;Oberliga;ESC Wedemark Scorpions;Oberliga;RW;0;---;5/8/1995;28;(W) Playmaker;Left Handed;None;4;20;13;0;0;20;9;2;12;9;8;6;10;10;8;8;2;5;4;9;8;9;5;11;7;4;9;8;8;10;6;5;8;1;1;1;1;1;
76;Antoine Pradal;Canada;---;0;0;0;0;---;---;---;---;C;0;Magog;2/17/2003;21;(C) Power Forward;Right Handed;None;13;9;13;40;40;40;2;2;2;5;2;6;18;2;13;6;6;11;11;7;6;11;7;6;4;8;5;3;5;5;1;3;6;1;1;1;1;1;
77;Boris Vorobyov;Russia;---;0;0;0;41325;Mamonty Yugry;MHL;Yugra Khanty-Mansiysk;Kontinental Hockey League;LW, C, RW;0;Moscow;2/13/2004;20;(W) Defensive;Left Handed;None;10;11;6;10;10;10;3;1;7;5;9;9;15;8;12;8;6;4;1;12;11;11;3;5;4;1;1;2;4;3;1;1;3;1;1;1;1;1;
78;William Dunham;Canada;Great Britain;0;0;0;0;---;---;---;---;LD;0;Thunder Bay;10/11/2002;21;(D) Offensive (Finesse);Left Handed;None;9;11;9;11;11;11;15;6;1;1;12;7;1;1;1;11;2;5;1;11;12;3;2;1;2;1;4;7;1;3;3;6;5;1;1;1;1;1;
79;Fabian Glanznig;Austria;---;0;0;0;2828;EC Spar Oilers Salzburg;Oberliga;EC Spar Oilers Salzburg;Oberliga;C;0;Bregenz;2/5/1990;34;(C) Power Forward;Left Handed;None;6;14;20;0;0;0;8;12;8;4;8;6;6;6;8;5;4;1;5;4;1;1;3;7;3;11;5;2;3;8;3;5;5;1;1;1;1;1;
80;Arne Barnett;United States;---;0;0;0;7250;Georgetown Raiders;OJHL;Georgetown Raiders;OJHL;G;0;Lancaster;7/29/2006;17;(G) Hybrid style;Left Handed;None;20;1;20;33;33;33;14;1;4;10;6;8;9;1;6;3;7;8;1;2;8;1;1;1;1;1;1;3;5;7;1;4;1;4;5;4;4;7;
81;Noah Subban;Canada;---;0;0;0;7240;Saint-Hyacinthe Lauréats;QJHL;Saint-Hyacinthe Lauréats;QJHL;RW;0;Thunder Bay;3/2/2004;19;(W) Finesse;Right Handed;None;11;11;20;19;19;19;18;2;10;9;9;9;9;10;8;13;6;6;1;7;6;3;4;3;8;1;4;5;4;4;2;7;4;1;1;1;1;1;
82;Johnnie Krug;United States;---;0;0;0;1675;Nebraska-Omaha Mavericks;NCHC;Nebraska-Omaha Mavericks;NCHC;RW;0;Marquette;10/2/2004;19;(W) Power Forward;Right Handed;None;12;12;20;49;49;49;9;10;9;18;5;8;12;8;10;7;4;8;4;7;14;17;4;6;1;1;1;1;1;3;3;2;3;1;1;1;1;1;
83;Cooper Parker;United States;---;0;0;0;1847;Minnesota-Duluth Bulldogs;NCHC;Minnesota-Duluth Bulldogs;NCHC;C;0;Duluth;3/23/2003;20;(C) Playmaker;Right Handed;None;11;12;20;71;71;71;13;7;10;13;4;7;2;11;3;20;7;7;1;20;15;7;1;5;5;9;3;6;2;1;1;2;5;1;1;1;1;1;
