Id;Name;Club Playing;Club Contracted;Positions Short;Age;Handedness;Squad Number;Determination;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
37;Kanzaburo Koyasu;Niagara Falls Rivermen;Niagara Falls Rivermen;G;16;Right Handed;33;10;15;2;10;2;9;5;1;9;2;7;6;1;2;4;1;1;1;1;1;1;3;4;5;1;2;1;5;2;2;1;5;
38;Christoph Draschkowitz;EHC Alge Elastic Lustenau;EHC Alge Elastic Lustenau;RW;31;Right Handed;3;10;6;9;11;9;8;6;9;10;5;5;5;6;5;9;9;4;7;6;3;7;4;5;8;6;5;6;1;1;1;1;1;
39;Lukas Draschkowitz;TEV Miesbach;TEV Miesbach;LW, C;31;Left Handed;77;12;12;10;11;8;9;10;8;11;10;7;4;6;8;9;9;5;8;2;6;4;5;5;7;6;3;4;1;1;1;1;1;
40;Christoph Duller;EC Red Bull Salzburg;EC Red Bull Salzburg;RD;26;Right Handed;0;18;8;5;10;8;10;9;4;9;8;9;9;11;9;9;12;9;5;7;4;7;5;6;9;5;6;5;1;1;1;1;1;
41;Mario Ebner;EC Spar Oilers Salzburg;EC Spar Oilers Salzburg;LD;24;Left Handed;0;8;9;3;12;6;9;13;2;12;3;5;7;7;9;7;10;9;1;1;1;1;1;6;10;1;1;1;1;1;1;1;1;
43;Kevin Essmann;DEK Klagenfurt Tarco Wölfe;DEK Klagenfurt Tarco Wölfe;C, RW;29;Right Handed;0;7;6;8;11;10;11;8;8;12;8;8;4;8;9;8;11;9;8;5;11;8;3;6;10;1;4;2;1;1;1;1;1;
44;Léo-Guy Thomas;RIT Tigers;RIT Tigers;LW, C;18;Left Handed;12;15;14;8;4;18;3;1;7;5;6;4;10;4;6;9;10;1;4;3;4;4;2;2;1;3;2;6;1;1;1;1;1;
45;Bernhard Fechtig;EV Vienna Capitals;EV Vienna Capitals;LD;27;Left Handed;93;9;13;5;8;7;10;9;4;10;9;9;9;15;6;8;5;8;4;7;4;6;5;10;11;5;6;5;1;1;1;1;1;
46;Axel Feichter;Dab.Docler;Dab.Docler;G;26;Left Handed;0;12;5;7;8;7;6;5;1;6;4;6;8;1;3;10;13;1;1;1;1;1;2;3;11;1;1;1;6;7;7;4;10;
47;Alexander Feichtner;EC Red Bull Salzburg;EC Red Bull Salzburg;C;31;Left Handed;58;12;12;11;10;10;9;14;11;11;10;9;6;5;11;8;4;7;6;9;10;7;8;5;8;6;8;9;1;1;1;1;1;
48;Stephan Fellinger;EHC Bregenzerwald;EHC Bregenzerwald;C;26;Right Handed;0;5;2;9;13;9;10;10;8;11;7;6;7;3;7;7;7;7;4;4;8;7;5;7;8;7;4;6;1;1;1;1;1;
49;Laurent Cornelis;Bulldogs Liege U23;Bulldogs Liege U23;LD;15;Left Handed;24;13;4;3;7;4;4;4;2;4;7;6;11;6;9;6;5;8;2;1;1;3;1;7;7;4;2;1;1;1;1;1;1;
50;Mike Green;Haringey Hounds U16;Haringey Hounds U16;LD, RD;16;Right Handed;20;9;7;3;1;9;2;11;7;16;13;3;5;5;11;9;11;7;1;3;1;5;4;8;5;1;6;1;1;1;1;1;1;
51;Mario Fischer;EC Villacher SV;EC Villacher SV;LW;31;Left Handed;50;12;8;7;13;7;6;13;5;11;11;9;7;10;10;9;11;10;8;5;6;4;8;8;10;7;8;8;1;1;1;1;1;
52;Thomas Becker;Peterborough Petes;Peterborough Petes;C, RW;17;Left Handed;43;13;11;4;13;8;13;12;3;18;8;9;12;11;9;13;11;6;3;4;9;4;5;5;7;2;4;3;1;1;1;1;1;
53;Rufin Wisniewski;HC GKS Katowice;HC GKS Katowice;LD, RD;18;Right Handed;11;14;15;3;7;10;4;11;6;4;7;9;8;1;7;11;9;5;3;5;1;6;6;4;4;5;2;3;1;1;1;1;1;
54;Elvis Jeram;HK Bled;HK Bled;LD, RD;18;Left Handed;3;11;8;7;1;8;13;1;9;4;6;5;7;4;9;4;3;5;5;4;1;3;4;2;3;2;1;2;1;1;1;1;1;
55;Sly Wood;Bethel Royals;Bethel Royals;LD, RD;18;Right Handed;6;15;17;6;15;10;5;4;5;9;8;4;7;5;10;9;9;7;4;7;1;10;5;6;7;5;7;5;1;1;1;1;1;
56;Jan-Erik Niiranen;Prince Albert Raiders;Prince Albert Raiders;RW;17;Right Handed;30;12;4;8;7;11;12;13;10;10;8;8;4;4;11;10;8;1;8;7;1;4;3;3;4;9;6;8;1;1;1;1;1;
57;David Franz;Tilburg Trappers;Tilburg Trappers;RW;27;Right Handed;0;16;7;3;5;7;9;6;5;6;10;9;5;4;5;9;10;8;5;5;3;7;6;7;10;6;4;6;1;1;1;1;1;
59;Jonas Burke;Michigan State Spartans;Michigan State Spartans;C;17;Right Handed;66;18;6;11;7;3;11;8;11;6;10;4;7;1;9;12;6;1;6;6;9;8;7;4;2;2;8;6;1;1;1;1;1;
60;Daniel Frischmann;EC Harzer Falken;EC Harzer Falken;C;28;Right Handed;0;16;2;7;7;10;8;11;5;11;9;7;7;3;10;7;7;9;4;7;10;4;5;8;10;3;8;3;1;1;1;1;1;
61;Gaetan Juneau;Buffalo Sabres;Buffalo Sabres;C, RW;18;Right Handed;18;15;4;5;7;7;7;8;9;11;15;7;7;4;13;13;7;5;10;6;12;9;7;8;9;10;5;7;1;1;1;1;1;
62;Dennis Charyszyn;Boston University Terriers;Boston University Terriers;LW, C;18;Left Handed;38;5;1;7;1;6;12;9;11;7;10;4;7;1;12;9;4;5;6;6;1;8;5;3;1;4;8;6;1;1;1;1;1;
63;Jürgen Fussenegger;EC Graz 99ers;EC Graz 99ers;LD;31;Left Handed;0;15;11;7;5;7;8;9;7;8;8;9;7;6;9;8;7;5;3;6;2;5;6;7;10;6;5;5;1;1;1;1;1;
64;Bogden Mazula;Yunost Karaganda U18;Yunost Karaganda U18;RD;18;Right Handed;27;18;16;3;1;8;3;7;4;4;7;7;12;9;7;8;4;7;3;2;1;1;3;9;7;3;4;1;1;1;1;1;1;
65;Marty Tory;Wisconsin-Stout Blue Devils;Wisconsin-Stout Blue Devils;LD;17;Right Handed;11;15;2;8;6;16;7;8;5;6;8;10;7;1;7;8;6;1;6;5;1;9;8;4;2;7;7;10;1;1;1;1;1;
66;Stefan Gaffal;ESC Moskitos Essen;ESC Moskitos Essen;RW;23;Right Handed;0;5;4;5;15;8;11;7;5;4;8;10;6;3;8;5;7;8;5;2;4;6;5;5;8;3;4;5;1;1;1;1;1;
67;Manuel Ganahl;EC Klagenfurter AC;EC Klagenfurter AC;C, RW;30;Left Handed;17;10;8;14;11;6;12;12;10;12;12;11;9;6;12;12;9;9;12;9;6;10;10;7;13;11;10;12;1;1;1;1;1;
68;George Richard;Belle Tire U16;Belle Tire U16;G;16;Left Handed;35;4;13;3;12;4;9;16;1;13;1;6;10;1;3;5;1;1;1;1;1;1;1;1;5;1;4;1;5;4;3;1;6;
69;Vladimir Lazarev;Yunost Karaganda U18;Yunost Karaganda U18;RW;17;Left Handed;34;15;16;9;7;13;3;1;6;4;7;4;5;3;9;10;9;3;7;5;1;4;7;2;2;5;2;2;1;1;1;1;1;
70;Mate Gaspar;DEK Klagenfurt Tarco Wölfe;DEK Klagenfurt Tarco Wölfe;LW;23;Right Handed;0;4;2;12;2;3;6;6;13;3;6;6;3;1;2;5;15;1;9;9;1;9;1;1;1;8;4;9;1;1;1;1;1;
71;Karl Pousset;Gatineau Olympiques;Gatineau Olympiques;C;17;Right Handed;53;13;1;11;3;12;7;6;12;4;13;7;7;1;6;12;6;1;7;7;8;7;7;1;3;4;6;2;1;1;1;1;1;
72;Benny Vinetti;Kingston Voyageurs;Kingston Voyageurs;C, RW;17;Right Handed;41;6;10;11;14;8;12;14;12;17;8;7;7;4;7;9;6;3;8;1;6;3;1;1;2;3;1;8;1;1;1;1;1;
73;Manuel Geier;EC Villacher SV;EC Villacher SV;C, RW;32;Right Handed;21;12;9;11;10;8;10;11;12;11;9;8;8;7;9;10;6;6;8;11;4;11;10;7;10;9;11;12;1;1;1;1;1;
74;Stefan Geier;EC Red Bull Salzburg;EC Red Bull Salzburg;RW;32;Left Handed;19;12;11;4;6;8;6;6;6;6;8;8;6;5;9;9;7;9;9;7;4;7;7;7;12;5;7;7;1;1;1;1;1;
75;Ruslan Gelfanov;ESC Wedemark Scorpions;ESC Wedemark Scorpions;RW;25;Left Handed;0;9;2;10;10;8;4;11;8;9;9;3;6;5;10;9;10;5;10;6;5;9;8;8;7;6;4;8;1;1;1;1;1;
76;Antoine Pradal;Gatineau Olympiques;Gatineau Olympiques;C;17;Right Handed;40;2;2;3;6;2;7;20;3;14;7;7;10;10;8;5;9;7;5;3;6;4;3;5;5;1;3;6;1;1;1;1;1;
77;Boris Vorobyov;Dynamo Moscow U17;Dynamo Moscow U17;LW, C, RW;16;Left Handed;10;4;1;9;7;9;11;17;10;14;3;8;2;1;7;8;6;5;7;6;1;3;4;6;5;3;1;5;1;1;1;1;1;
78;William Dunham;Eastern Ontario Cobras;Eastern Ontario Cobras;LD;17;Left Handed;11;15;6;1;1;12;8;1;1;1;8;4;3;1;10;10;3;3;1;3;1;4;7;1;3;4;6;6;1;1;1;1;1;
79;Fabian Glanznig;EHC Alge Elastic Lustenau;EHC Alge Elastic Lustenau;C;30;Left Handed;0;9;12;9;5;8;5;7;6;9;11;10;5;5;10;6;5;3;7;3;11;5;2;4;8;4;5;6;1;1;1;1;1;
81;Noah Subban;Thunder Bay North Stars;Thunder Bay North Stars;RW;16;Right Handed;19;18;2;11;11;9;11;10;11;10;11;8;6;1;5;4;3;5;3;8;1;4;5;4;5;2;7;4;1;1;1;1;1;
82;Johnnie Krug;Marquette;Marquette;RW;15;Right Handed;49;11;10;11;19;5;10;14;10;12;8;5;5;5;6;10;12;5;7;1;1;2;2;2;4;4;3;4;1;1;1;1;1;
83;Cooper Parker;Minnesota-Duluth Bulldogs;Minnesota-Duluth Bulldogs;C;17;Right Handed;71;14;7;11;14;4;8;3;12;4;16;8;6;1;17;14;6;2;4;4;8;3;6;2;1;1;2;5;1;1;1;1;1;
84;Michael Grabner;---;---;LW, RW;32;Left Handed;40;11;5;13;8;13;9;13;10;15;19;16;12;9;17;11;8;15;8;13;7;7;11;15;16;12;11;13;1;1;1;1;1;
85;Steven Ward;Kansas City Mavs Elite U18;Kansas City Mavs Elite U18;RD;17;Right Handed;29;13;10;11;8;7;10;8;9;14;8;11;9;6;9;11;5;5;8;4;1;6;6;6;7;5;4;5;1;1;1;1;1;
86;Chase Gardiman;Ottawa 67s;Ottawa 67s;G;17;Left Handed;31;16;3;8;12;2;10;11;1;17;5;12;12;1;10;10;5;1;1;1;1;1;8;12;12;1;8;1;10;11;5;8;8;
88;Julian Grosslercher;FBI VEU Feldkirch;FBI VEU Feldkirch;C;27;Right Handed;0;13;1;4;5;10;9;9;10;6;7;6;5;3;7;7;5;6;4;10;10;11;10;6;8;3;10;8;1;1;1;1;1;
89;Gage Adams;Michigan State Spartans;Michigan State Spartans;RD;17;Right Handed;4;11;18;4;4;10;12;3;5;1;8;6;11;9;8;10;12;6;1;1;2;1;3;8;7;3;3;1;1;1;1;1;1;
90;Jordie MacPherson;Kelowna Rockets;Kelowna Rockets;C;15;Left Handed;31;4;4;10;12;4;11;8;7;5;7;9;10;6;8;9;8;2;8;2;6;5;3;1;2;7;2;8;1;1;1;1;1;
91;Marius Göhringer;EVZ Academy;EVZ Academy;RW;27;Left Handed;0;12;10;6;8;8;6;8;10;12;11;6;7;6;10;9;8;4;6;5;3;8;7;6;9;6;7;7;1;1;1;1;1;
92;Dominic Hackl;EC Spar Oilers Salzburg;EC Spar Oilers Salzburg;LD;23;Left Handed;0;8;15;1;3;6;3;6;1;4;5;5;10;7;2;5;12;11;1;1;1;2;5;7;8;1;3;1;1;1;1;1;1;
93;Denny Champagne;Vegreville Wranglers;Vegreville Wranglers;LD, RD;14;Left Handed;5;6;1;3;9;9;6;20;5;14;9;8;10;9;8;9;6;6;2;5;2;2;1;8;7;5;1;3;1;1;1;1;1;
95;Stefan Ciboch;HC Ocelári Trinec U16;HC Ocelári Trinec U16;LW;16;Left Handed;42;14;8;12;13;7;13;11;8;8;8;4;5;4;4;9;9;2;9;1;1;6;4;3;4;5;1;7;1;1;1;1;1;
96;Nikolaus Hartl;EC Villacher SV;EC Villacher SV;RW;28;Right Handed;91;8;6;9;9;9;9;9;9;13;9;10;3;3;6;8;6;9;7;6;3;6;8;9;11;4;5;4;1;1;1;1;1;
97;Maximilian Haselbacker;EC Graz 99ers;EC Graz 99ers;G;21;Left Handed;0;5;11;3;9;10;12;8;1;13;8;12;14;1;7;8;4;1;1;1;1;1;1;5;11;1;1;1;6;7;5;2;7;
98;Chris Gaudet;Minnesota Golden Gophers;Minnesota Golden Gophers;LD, RD;17;Right Handed;33;16;11;1;3;6;3;5;3;4;9;6;11;5;7;13;5;6;4;4;1;7;5;7;8;5;3;3;1;1;1;1;1;
99;Lawton Gauthier;Bonnyville Pontiacs;Bonnyville Pontiacs;C;17;Left Handed;22;10;9;12;9;1;8;6;7;11;9;4;4;5;7;10;8;3;8;5;9;5;5;4;3;4;2;8;1;1;1;1;1;
100;Lukas Haudum;EC Die Adler Kitzbühel;EC Die Adler Kitzbühel;LW, RW;23;Left Handed;0;15;1;13;7;10;13;10;12;14;11;13;9;5;12;11;9;10;12;10;7;15;9;9;11;11;7;14;1;1;1;1;1;
101;Dominique Heinrich;Örebro HK;Örebro HK;LD, RD;30;Left Handed;91;13;6;12;8;8;12;13;12;12;14;13;10;6;13;13;7;10;8;11;3;11;12;10;12;10;12;10;1;1;1;1;1;
103;Marco Hirschberger;EC Villacher SV;EC Villacher SV;C;24;Left Handed;0;12;9;3;2;9;12;6;3;8;10;10;9;5;10;11;12;9;5;6;10;5;7;9;10;2;2;5;1;1;1;1;1;
106;Nicholas Hollendonner;EHC Bregenzerwald;EHC Bregenzerwald;LW;26;Right Handed;0;11;5;7;9;8;9;5;7;6;7;8;7;7;7;9;14;5;7;7;5;7;8;4;9;7;7;7;1;1;1;1;1;
108;Mario Huber;EC Graz 99ers;EC Graz 99ers;C, RW;24;Right Handed;96;8;14;16;11;6;14;9;16;10;11;8;6;5;9;9;16;5;10;6;9;11;7;7;6;8;6;9;1;1;1;1;1;
109;Thomas Hundertpfund;EC Graz 99ers;EC Graz 99ers;LW, C;30;Left Handed;27;13;8;9;10;8;5;5;11;9;10;9;5;7;9;11;10;6;9;8;6;6;8;4;8;7;6;9;1;1;1;1;1;
111;Kasey Fenton;Gilmour Academy;Gilmour Academy;LD;16;Left Handed;7;6;17;5;12;1;11;14;3;18;7;7;5;7;7;6;5;9;4;4;2;3;2;8;8;2;1;4;1;1;1;1;1;
112;Darryl Brodzinski;Victoriaville Tigres;Victoriaville Tigres;G;17;Left Handed;32;6;19;4;13;8;12;10;1;10;4;8;7;1;2;14;1;1;1;1;1;1;2;3;9;1;8;1;4;4;4;5;7;
113;David Kickert;EV Vienna Capitals;EV Vienna Capitals;G;26;Left Handed;0;9;8;9;11;5;7;11;1;12;7;12;13;1;7;10;9;1;1;1;1;1;4;5;12;1;6;1;10;8;7;6;13;
114;Miihkali Valtonen;Espoon Blues C-Jrs;Espoon Blues C-Jrs;LD, RD;16;Left Handed;55;17;12;13;14;8;12;17;14;19;8;5;6;8;6;9;7;8;5;7;1;10;9;2;6;12;8;10;1;1;1;1;1;
115;Torry Kullman;Arizona State Sun Devils;Arizona State Sun Devils;LD, RD;18;Left Handed;2;11;15;5;18;1;11;11;5;13;7;9;11;8;8;12;16;9;2;2;1;2;1;6;9;2;2;1;1;1;1;1;1;
116;Chris Steingraber;Fairbanks Arctic Lions;Fairbanks Arctic Lions;LW, RW;14;Left Handed;11;12;4;3;18;8;12;19;3;20;7;6;8;4;12;10;7;9;1;1;1;2;7;5;7;3;4;4;1;1;1;1;1;
119;Rio Côté;Val d'Or Foreurs;Val d'Or Foreurs;RD;17;Right Handed;2;11;16;7;17;18;13;12;5;14;8;8;12;11;11;12;7;11;3;6;2;8;9;6;12;6;8;4;1;1;1;1;1;
121;Daine Piché;Fort Frances Lakers;Fort Frances Lakers;C, RW;16;Right Handed;22;11;4;10;10;14;12;9;11;5;13;5;5;1;10;7;7;1;5;6;6;9;7;4;4;3;5;4;1;1;1;1;1;
122;Raffaele Walter;EHC Biel-Bienne Jr;EHC Biel-Bienne;LW, C;16;Left Handed;61;16;3;3;15;7;4;13;3;11;8;7;7;10;10;7;8;7;5;2;7;2;5;8;9;4;7;4;1;1;1;1;1;
123;Brian Lebler;EC Graz 99ers;EC Graz 99ers;LW, RW;32;Left Handed;7;14;14;11;13;11;10;10;9;12;10;10;8;12;10;12;14;10;10;7;5;8;6;9;11;9;7;11;1;1;1;1;1;
124;Valentin Leiler;EC Graz 99ers;EC Graz 99ers;LW, C;25;Left Handed;0;14;1;7;5;5;8;5;7;6;9;12;7;3;12;11;10;6;8;7;4;8;7;7;8;8;5;10;1;1;1;1;1;
125;Corson Stastny;Duluth East;Duluth East;RD;16;Right Handed;8;7;15;3;19;10;11;16;3;16;7;3;10;6;7;8;9;7;1;1;1;2;1;3;5;1;1;1;1;1;1;1;1;
126;Dwight Hall;Holy Cross Crusaders;Holy Cross Crusaders;C, RW;17;Right Handed;51;7;7;3;2;16;4;3;5;2;4;6;3;1;10;9;2;1;8;8;1;7;3;1;1;8;6;8;1;1;1;1;1;
127;Gilbert Noivo;Gatineau Olympiques;Gatineau Olympiques;C, RW;16;Right Handed;53;19;9;9;14;8;9;15;8;12;9;10;12;9;7;15;8;2;11;3;9;7;3;2;3;6;3;6;1;1;1;1;1;
128;Daniel Mitterdorfer;EHC Bregenzerwald;EHC Bregenzerwald;LD, RD;31;Left Handed;4;14;8;8;8;5;7;8;4;9;10;10;10;9;11;7;8;9;2;3;1;5;8;9;11;4;7;4;1;1;1;1;1;
129;Florian Mühlstein;EC Villacher SV;EC Villacher SV;LD, RD;29;Left Handed;77;14;8;7;7;5;10;14;5;14;7;7;13;11;7;14;10;15;5;5;5;6;5;12;15;5;4;6;1;1;1;1;1;
130;Andreas Nödl;EV Vienna Capitals;EV Vienna Capitals;LW, RW;33;Left Handed;14;15;2;7;4;11;9;12;6;12;5;5;3;8;4;6;7;11;10;10;7;9;6;10;11;10;7;4;1;1;1;1;1;
131;Dino Berchtold;ZSC III U17;ZSC III U17;LW, RW;16;Left Handed;8;8;12;1;6;11;8;9;3;10;6;6;9;9;8;6;8;7;2;1;2;1;6;5;6;4;6;3;1;1;1;1;1;
133;Yannic Pilloni;HC Fribourg-Gottéron;HC Fribourg-Gottéron;C, RW;22;Left Handed;0;7;5;8;12;6;6;12;8;14;16;8;8;6;12;12;11;8;6;8;12;8;9;8;8;6;10;7;1;1;1;1;1;
137;Philipp Pöschmann;EC Die Adler Kitzbühel;EC Die Adler Kitzbühel;C;23;Right Handed;0;12;3;5;18;11;8;7;6;9;11;9;7;3;13;12;9;6;4;3;7;7;6;5;6;5;5;5;1;1;1;1;1;
139;Michael Raffl;Dinamo Minsk;Dinamo Minsk;LW, RW;31;Left Handed;12;13;10;13;11;11;11;10;10;10;12;11;9;11;11;12;9;10;12;10;8;13;12;13;13;10;10;12;1;1;1;1;1;
140;Gregg Wolfe;Kingston Frontenacs;Kingston Frontenacs;LD, RD;17;Right Handed;27;13;5;5;4;9;13;4;5;7;8;3;9;8;7;9;10;10;1;3;2;1;4;9;6;3;3;1;1;1;1;1;1;
141;Max Reisinger;EK Zell am See;EK Zell am See;LW, C, RW;24;Left Handed;0;18;4;11;13;11;11;7;11;3;8;6;4;1;12;6;10;1;9;7;9;8;1;1;2;11;5;9;1;1;1;1;1;
142;Clark Clark;Indy Checkers U16;Indy Checkers U16;LW;16;Left Handed;54;7;1;5;6;6;12;6;5;10;12;10;10;3;5;10;3;7;1;4;2;2;7;8;9;3;7;2;1;1;1;1;1;
