Id;Name;Nation;Estimated Value;Club Playing;Division Playing;Club Contracted;Division Contracted;Positions Short;Birth Town;Date Of Birth;Age;Handedness;Junior Preference;Morale;Squad Number;Determination;Goaltender;Left Defense;Right Defense;Left Wing;Center;Right Wing;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Fighting;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
18;Milos Banovic;Serbia;875;HK Spartak Subotica U18;Srb U18;HK Spartak Subotica U18;Srb U18;LW, RW;Subotica;12/6/2001;18;Left Handed;None;20;22;10;1;1;1;20;9;16;13;9;4;6;10;8;10;7;6;5;7;2;6;8;9;13;3;7;1;1;1;1;3;3;1;1;3;1;1;1;1;1;
19;Georgy Kalyuzhny;Belarus;5083;Shakhter Soligorsk;Belarus League;Shakhter Soligorsk;Belarus League;C;Vitebsk;5/11/2001;18;Right Handed;None;20;77;11;1;1;1;9;20;12;9;14;12;8;9;10;12;13;10;9;6;6;5;10;10;5;2;10;3;6;8;3;2;5;4;1;10;1;1;1;1;1;
20;Patrick Berr;Austria;2797;EC Spar Oilers Salzburg;Oberliga;EC Spar Oilers Salzburg;Oberliga;LW;Judenburg;1/1/1994;26;Left Handed;None;20;0;7;1;1;1;20;12;12;1;5;12;7;10;8;6;5;9;10;3;1;2;6;9;8;7;6;4;1;4;5;4;8;4;1;5;1;1;1;1;1;
21;Johannes Bischofberger;Austria;4345;Hamburger SV;Oberliga;Hamburger SV;Oberliga;LW;Dornbirn;7/13/1994;25;Left Handed;Europe;20;94;7;1;1;1;20;12;12;9;10;4;10;6;7;11;6;8;8;4;1;4;8;11;2;4;5;9;1;8;8;4;5;4;8;7;1;1;1;1;1;
22;Vince Farnham;United States;1312;Indy Checkers U16;USU16E;Indy Checkers U16;USU16E;C;Biloxi;8/1/2003;16;Left Handed;None;20;56;13;1;1;1;14;20;12;8;9;7;13;4;6;8;5;11;6;7;1;1;6;8;5;1;7;4;6;5;8;3;2;2;4;7;1;1;1;1;1;
23;Marco Brucker;Austria;22092;EC Red Bull Salzburg;Erste Bank Eishockey Liga;EC Red Bull Salzburg;Erste Bank Eishockey Liga;C;Linz;5/14/1991;28;Right Handed;Europe;19;89;7;1;1;1;9;20;12;10;7;6;11;10;8;5;7;5;7;4;1;4;6;8;6;8;4;7;7;6;6;6;10;7;6;6;1;1;1;1;1;
24;Mark Brunnegger;Austria;17950;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;HC Tiroler Wasserkraft Innsbruck;Erste Bank Eishockey Liga;LD, RD, LW;Graz;11/1/1985;34;Left Handed;None;20;88;9;1;20;18;18;1;1;16;7;10;7;11;10;6;12;5;4;7;5;9;8;8;9;7;3;5;1;5;4;7;10;8;1;6;1;1;1;1;1;
25;Nico Brunner;Austria;12472;FBI VEU Feldkirch;Alps League;FBI VEU Feldkirch;Alps League;LD;Villach;9/17/1992;27;Left Handed;Europe;20;0;9;1;20;14;5;5;10;8;4;4;10;8;6;4;6;4;3;9;1;13;6;6;7;10;5;5;4;6;9;9;10;5;6;5;1;1;1;1;1;
26;Tobias Kink;Germany;9300;EHC Bayreuth;DEL2;EHC Bayreuth;DEL2;RD, RW;Karlsruhe;3/6/2002;18;Left Handed;None;20;8;8;1;15;20;12;9;16;3;5;9;10;12;13;5;8;7;6;8;2;9;8;8;14;10;2;4;2;1;2;9;9;5;1;3;1;1;1;1;1;
27;Alexander Cijan;Austria;20847;EV Vienna Capitals;Erste Bank Eishockey Liga;EV Vienna Capitals;Erste Bank Eishockey Liga;LW, C, RW;Klagenfurt;5/16/1994;25;Left Handed;Europe;16;0;17;1;1;1;20;16;19;8;8;16;10;9;8;7;10;11;11;9;3;6;11;11;9;11;7;9;5;9;5;8;12;8;4;7;1;1;1;1;1;
28;Philipp Cirtek;Austria;2797;EC Spar Oilers Salzburg;Oberliga;EC Spar Oilers Salzburg;Oberliga;LW;Klagenfurt;1/3/1994;26;Left Handed;Europe;20;0;5;1;1;1;20;12;12;6;4;11;9;8;5;4;7;4;6;3;1;7;6;5;10;7;5;8;1;4;5;4;5;4;3;6;1;1;1;1;1;
29;Reizo Ogasawara;Japan;1500;Notre Dame Argos Midget AAA;SMAAAHL;Notre Dame Argos Midget AAA;SMAAAHL;LW;Miyazaki;10/28/2001;18;Right Handed;None;19;16;18;1;1;1;20;10;10;5;10;1;12;7;4;1;6;8;3;3;1;1;11;9;6;1;7;4;1;8;3;1;1;5;4;6;1;1;1;1;1;
30;Erasmo Marcoux;Canada;16425;Guelph Storm;OHL;Guelph Storm;OHL;C;Etobicoke;7/17/2002;17;Left Handed;None;19;11;13;1;1;1;14;20;12;2;11;8;10;12;14;3;20;9;8;7;3;4;10;7;11;9;6;5;7;6;6;6;7;4;6;6;1;1;1;1;1;
31;Thomas Dechel;Austria;17007;Stavanger Oilers;GET Ligaen;Stavanger Oilers;GET Ligaen;G;---;11/11/1992;27;Left Handed;None;20;0;8;20;1;1;1;1;1;7;6;7;8;9;7;1;5;6;7;8;1;1;7;7;7;1;1;1;1;1;6;7;12;1;7;1;9;7;7;6;7;
32;Marco Del Fabro;Austria;2760;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;G;---;7/27/1988;31;Left Handed;None;20;0;15;20;1;1;1;1;1;5;5;5;5;7;4;1;5;5;5;4;2;1;5;5;3;1;1;1;1;1;6;7;9;1;5;1;7;5;4;4;3;
33;Dominik Dieber;Austria;2760;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;G;Bludenz;3/9/1996;24;Left Handed;None;20;0;9;20;1;1;1;1;1;5;2;18;6;13;19;1;19;2;6;9;1;1;3;7;1;1;1;1;1;1;1;2;6;1;1;1;1;1;3;1;4;
34;Florian Dinhopel;Austria;4698;1. EV Weiden 1985;Oberliga;1. EV Weiden 1985;Oberliga;LW, RW;Zeltweg;1/13/1987;33;Right Handed;None;20;87;15;1;1;1;16;9;20;7;7;13;5;8;12;6;11;8;11;3;1;6;9;10;5;5;8;8;3;7;4;4;8;3;3;4;1;1;1;1;1;
36;Patrick Divjak;Austria;22092;EC Red Bull Salzburg;Erste Bank Eishockey Liga;EC Red Bull Salzburg;Erste Bank Eishockey Liga;LW, RW;Vienna;3/2/1989;31;Left Handed;None;20;97;6;1;1;1;20;9;16;1;10;12;11;13;13;9;10;5;4;4;1;2;9;10;6;5;7;8;2;6;8;4;7;5;7;9;1;1;1;1;1;
37;Kanzaburo Koyasu;Japan;1312;San Diego Midget Gulls;CAHA;San Diego Midget Gulls;CAHA;G;Miyazaki;12/5/2003;16;Right Handed;None;17;33;10;20;1;1;1;1;1;15;2;10;2;9;5;1;9;2;7;6;1;1;2;4;1;1;1;1;1;1;3;4;5;1;2;1;5;2;2;1;5;
38;Christoph Draschkowitz;Austria;12435;EHC Alge Elastic Lustenau;Alps League;EHC Alge Elastic Lustenau;Alps League;RW;Vienna;4/25/1989;30;Right Handed;Europe;16;3;10;1;1;1;14;9;20;6;9;12;9;8;7;9;10;5;5;5;3;6;5;9;10;5;8;6;4;8;4;6;8;6;5;7;1;1;1;1;1;
39;Lukas Draschkowitz;Austria;2590;TEV Miesbach;Bayernliga;TEV Miesbach;Bayernliga;LW, C;Vienna;4/25/1989;30;Left Handed;None;20;77;12;1;1;1;18;20;12;12;10;11;8;9;10;8;11;10;7;4;2;6;8;9;9;5;8;2;6;4;5;5;7;6;3;4;1;1;1;1;1;
40;Christoph Duller;Austria;19582;EHC Black Wings Linz;Erste Bank Eishockey Liga;EHC Black Wings Linz;Erste Bank Eishockey Liga;RD;Klagenfurt;2/14/1994;26;Right Handed;None;20;0;17;1;14;20;1;1;1;8;5;10;8;10;9;4;9;8;9;9;1;11;9;9;12;9;5;7;4;7;5;6;9;5;6;5;1;1;1;1;1;
41;Mario Ebner;Austria;2797;EC Spar Oilers Salzburg;Oberliga;EC Spar Oilers Salzburg;Oberliga;LD;Graz;12/16/1995;24;Left Handed;None;20;0;8;1;20;12;1;1;1;9;3;12;6;9;13;2;12;3;5;8;1;7;9;7;11;9;1;1;1;1;1;6;11;1;1;1;1;1;1;1;1;
43;Kevin Essmann;Austria;2760;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;C, RW;Villach;1/4/1991;29;Right Handed;None;20;0;7;1;1;1;12;20;16;6;8;11;10;11;8;8;12;8;8;4;1;8;9;8;11;9;8;5;11;8;3;6;9;1;4;2;1;1;1;1;1;
44;Léo-Guy Thomas;Canada;6590;Gatineau Flames;QJHL;Gatineau Flames;QJHL;LW, C;Laval;8/19/2002;17;Left Handed;None;20;12;15;1;1;1;16;20;9;14;8;4;18;3;1;7;5;6;4;9;1;4;6;9;10;1;4;3;4;4;2;2;1;3;2;6;1;1;1;1;1;
45;Bernhard Fechtig;Austria;19582;EHC Black Wings Linz;Erste Bank Eishockey Liga;EHC Black Wings Linz;Erste Bank Eishockey Liga;LD;Dornbirn;1/6/1993;27;Left Handed;Europe;17;93;9;1;20;14;1;1;1;13;5;9;7;11;10;5;11;9;9;9;1;15;6;8;5;8;4;7;4;6;6;10;11;5;6;5;1;1;1;1;1;
46;Axel Feichter;Austria;3416;Dab.Docler;MOL;Dab.Docler;MOL;G;Stockholm;3/30/1994;25;Left Handed;None;20;0;12;20;1;1;1;1;1;5;7;8;7;6;5;1;6;4;6;8;1;1;3;10;13;1;1;1;1;1;2;4;11;1;1;1;6;7;8;4;10;
47;Alexander Feichtner;Austria;29131;HC Lausanne;National League A;HC Lausanne;National League A;C;Salzburg;4/23/1989;30;Left Handed;Europe;20;58;12;1;1;1;14;20;12;12;11;11;10;10;15;12;12;11;10;7;2;5;12;9;5;7;7;10;10;7;8;6;9;6;9;9;1;1;1;1;1;
48;Stephan Fellinger;Austria;13562;EHC Bregenzerwald;Alps League;EHC Bregenzerwald;Alps League;C;Tulln;7/5/1994;25;Right Handed;None;20;0;5;1;1;1;9;20;12;2;9;13;9;10;10;8;11;7;6;7;1;4;7;7;7;7;4;4;8;7;6;8;8;7;5;6;1;1;1;1;1;
49;Laurent Cornelis;Belgium;1312;Bulldogs Liege U23;Bel U23;Bulldogs Liege U23;Bel U23;LD;Eupen;11/12/2004;15;Left Handed;None;19;24;13;1;20;12;1;1;1;4;4;8;4;5;4;3;4;7;7;11;1;6;9;6;5;8;2;1;2;3;1;7;7;4;2;1;1;1;1;1;1;
50;Mike Green;Great Britain;1312;Swindon Tigers U15;British U15;Swindon Tigers U15;British U15;LD, RD;Wattens;6/22/2004;15;Right Handed;None;17;20;9;1;17;20;5;5;9;7;3;1;9;2;11;7;16;13;4;6;1;5;10;8;10;7;1;3;1;5;4;9;5;1;6;1;1;1;1;1;1;
51;Mario Fischer;Austria;19582;EHC Black Wings Linz;Erste Bank Eishockey Liga;EHC Black Wings Linz;Erste Bank Eishockey Liga;LW;Vienna;5/5/1989;30;Left Handed;Europe;19;50;12;1;1;1;20;12;14;8;8;14;7;6;13;6;12;12;10;8;4;10;11;10;12;11;9;6;6;4;8;8;10;7;8;8;1;1;1;1;1;
52;Thomas Becker;United States;7250;Wellington Dukes;OJHL;Wellington Dukes;OJHL;C, RW;Marquette;6/10/2003;16;Left Handed;None;20;43;13;1;9;9;12;20;16;11;4;13;8;13;12;3;18;8;9;12;6;11;9;13;11;6;3;4;9;4;5;5;7;2;4;3;1;1;1;1;1;
53;Rufin Wisniewski;Poland;9541;Ciarko PBS Bank KH Sanok;Elite League;Ciarko PBS Bank KH Sanok;Elite League;LD, RD;Wielun;5/30/2002;17;Right Handed;None;18;11;14;1;18;20;1;1;1;15;3;7;10;4;11;6;4;7;9;8;1;1;7;11;8;6;3;5;1;6;6;4;5;5;3;3;1;1;1;1;1;
54;Elvis Jeram;Slovenia;2041;HDK Maribor U18;Austrian Juniors;HDK Maribor U18;Austrian Juniors;LD, RD;Ljubljana;3/10/2002;18;Left Handed;None;20;3;11;1;20;18;1;1;1;8;7;1;8;13;1;9;4;6;5;7;1;4;9;4;3;6;6;5;1;3;5;3;3;3;1;3;1;1;1;1;1;
55;Sly Wood;United States;9695;Corpus Christi IceRays;NAHL;Corpus Christi IceRays;NAHL;LD, RD;Harrisville;9/9/2002;17;Right Handed;None;20;6;15;1;18;20;1;1;1;17;7;16;10;6;4;6;10;8;4;7;2;5;10;9;9;7;4;7;1;10;5;6;7;5;7;5;1;1;1;1;1;
56;Jan-Erik Niiranen;Finland;1484;TUTO Hockey B2-Jrs;Fin B2-Jr First;TUTO Hockey B2-Jrs;Fin B2-Jr First;RW;Turku;9/27/2002;17;Right Handed;None;17;30;12;1;1;1;14;15;20;4;8;7;11;12;14;10;10;8;8;4;1;3;11;10;8;1;9;8;1;4;4;3;4;9;6;8;1;1;1;1;1;
57;David Franz;Austria;3615;Tilburg Trappers;Oberliga;Tilburg Trappers;Oberliga;RW;---;10/28/1992;27;Right Handed;None;20;0;16;1;1;1;12;9;20;7;4;6;7;10;6;6;6;10;9;5;1;5;5;9;10;8;5;6;3;7;6;7;10;6;4;6;1;1;1;1;1;
59;Jonas Burke;United States;2562;Little Caesars U16;USU16E;Little Caesars U16;USU16E;C;Detroit;2/15/2003;17;Right Handed;None;17;66;18;1;1;1;9;20;14;6;11;7;3;11;8;11;6;9;4;7;1;1;8;12;6;1;6;6;9;8;7;4;2;2;8;6;1;1;1;1;1;
60;Daniel Frischmann;Austria;3187;EC Harzer Falken;Oberliga;EC Harzer Falken;Oberliga;C;---;1/20/1992;28;Right Handed;None;20;0;16;1;1;1;9;20;12;2;7;7;10;8;12;5;11;9;7;8;1;3;10;7;7;9;4;7;10;5;6;8;10;3;9;3;1;1;1;1;1;
61;Gaetan Juneau;Canada;15175;Baie-Comeau Drakkar;QMJHL;Baie-Comeau Drakkar;QMJHL;C, RW;Prevost;2/3/2002;18;Right Handed;None;20;18;15;1;1;1;12;20;19;4;5;7;7;7;9;9;11;15;7;8;4;4;13;13;8;5;10;6;12;9;8;8;9;10;5;7;1;1;1;1;1;
62;Dennis Charyszyn;United States;6625;Milwaukee Junior Admirals U18;T1EHL (Midget Major);Milwaukee Junior Admirals U18;T1EHL (Midget Major);LW, C;Grafton;7/23/2002;17;Left Handed;None;20;38;5;1;1;1;20;16;12;1;7;1;6;12;9;11;7;10;4;7;1;1;12;9;4;5;6;6;1;8;5;3;1;4;8;6;1;1;1;1;1;
63;Jürgen Fussenegger;Austria;12435;EHC Alge Elastic Lustenau;Alps League;EHC Alge Elastic Lustenau;Alps League;LD;Dornbirn;6/13/1989;30;Left Handed;None;19;0;15;1;20;12;1;1;1;11;6;5;7;7;9;6;8;8;9;7;3;6;9;8;7;5;3;6;2;5;6;7;10;6;5;5;1;1;1;1;1;
64;Bogden Mazula;Kazakhstan;6000;Torpedo Ust-Kamenogorsk U18;Russia U18;Torpedo Ust-Kamenogorsk U18;Russia U18;RD;Ust-Kamenogorsk;3/3/2002;18;Right Handed;None;20;27;18;1;12;20;1;1;1;16;4;1;8;4;7;5;5;7;7;12;1;9;7;8;4;7;3;2;1;1;3;9;6;3;3;1;1;1;1;1;1;
65;Marty Tory;United States;5312;Arrowhead;HS-WI;Arrowhead;HS-WI;LD;Hartland;9/23/2002;17;Right Handed;None;1;11;15;1;20;12;9;1;1;2;8;6;16;7;8;5;6;8;10;6;2;1;7;7;6;1;6;5;1;9;8;4;2;7;7;10;1;1;1;1;1;
66;Stefan Gaffal;Austria;4732;ESC Moskitos Essen;Oberliga;ESC Moskitos Essen;Oberliga;RW;Linz;11/24/1996;23;Right Handed;None;15;0;5;1;1;1;12;12;20;4;5;15;8;11;7;5;4;8;10;6;1;3;8;5;7;8;5;2;4;6;5;5;7;3;4;5;1;1;1;1;1;
67;Manuel Ganahl;Austria;20540;EC Klagenfurter AC;Erste Bank Eishockey Liga;EC Klagenfurter AC;Erste Bank Eishockey Liga;C, RW;Bludenz;7/12/1990;29;Left Handed;Europe;20;17;10;1;1;1;12;16;20;8;14;11;6;12;12;10;12;12;11;9;1;6;12;12;9;9;12;9;6;10;10;7;13;11;10;12;1;1;1;1;1;
68;George Richard;United States;2562;Little Caesars U16;USU16E;Little Caesars U16;USU16E;G;Detroit;4/23/2004;15;Left Handed;None;20;35;4;20;1;1;1;1;1;13;3;12;4;9;16;1;13;1;5;10;1;1;3;5;1;1;1;1;1;1;1;1;5;1;4;1;5;4;3;1;6;
69;Vladimir Lazarev;Kazakhstan;5978;Yunost Karaganda U18;Russia U18;Yunost Karaganda U18;Russia U18;RW;Karaganda;12/18/2002;17;Left Handed;None;20;34;15;1;1;1;10;10;20;16;9;7;13;3;1;6;4;7;4;5;1;3;9;9;8;3;7;5;1;4;7;2;2;5;2;2;1;1;1;1;1;
70;Mate Gaspar;Austria;2760;DEK Klagenfurt Tarco Wölfe;Oberliga;DEK Klagenfurt Tarco Wölfe;Oberliga;LW;Linz;2/2/1997;23;Right Handed;None;20;0;4;1;1;1;20;12;14;2;12;2;3;5;6;13;3;6;6;3;1;1;2;5;15;1;9;9;1;9;1;1;1;8;4;9;1;1;1;1;1;
71;Karl Pousset;Canada;17502;Gatineau Olympiques;QMJHL;Gatineau Olympiques;QMJHL;C;Verdun;11/17/2002;17;Right Handed;None;20;53;13;1;1;1;9;20;12;1;11;3;12;7;6;12;4;12;7;7;1;1;5;12;6;1;7;7;8;7;7;1;3;4;6;2;1;1;1;1;1;
72;Benny Vinetti;Canada;8597;Kingston Voyageurs;OJHL;Kingston Voyageurs;OJHL;C, RW;Cambridge;3/17/2003;16;Right Handed;None;20;41;6;1;1;1;12;20;16;10;11;14;8;12;14;12;17;8;7;6;6;4;7;8;6;3;8;1;6;3;1;1;2;3;1;8;1;1;1;1;1;
73;Manuel Geier;Austria;9062;EHC Chur;Swiss 2nd Div. Group 1;EHC Chur;Swiss 2nd Div. Group 1;C, RW;Zeltweg;1/8/1988;32;Right Handed;Europe;20;21;12;1;1;1;14;16;20;9;11;10;8;10;11;13;11;10;9;8;1;7;9;10;6;7;9;11;4;12;10;7;10;9;11;12;1;1;1;1;1;
74;Stefan Geier;Austria;30075;EHC Biel-Bienne;National League A;EHC Biel-Bienne;National League A;RW;Zeltweg;1/8/1988;32;Left Handed;Europe;19;19;12;1;14;12;14;9;20;11;4;6;8;6;7;6;6;9;9;7;1;5;10;10;8;10;9;7;5;8;8;7;12;5;7;7;1;1;1;1;1;
75;Ruslan Gelfanov;Austria;4356;ESC Wedemark Scorpions;Oberliga;ESC Wedemark Scorpions;Oberliga;RW;---;5/8/1995;24;Left Handed;None;10;0;9;1;1;1;12;9;20;2;10;11;8;5;12;8;10;10;4;7;1;5;11;10;11;6;10;6;6;9;8;9;7;7;5;9;1;1;1;1;1;
76;Antoine Pradal;Canada;7250;Woodstock Slammers;MHL;Woodstock Slammers;MHL;C;Magog;2/17/2003;17;Right Handed;None;20;40;2;1;1;1;9;20;12;2;3;6;2;7;20;3;14;7;7;9;4;10;8;4;9;7;4;3;5;3;2;5;5;1;3;6;1;1;1;1;1;
78;William Dunham;Canada;1500;North End Flames;HNO;North End Flames;HNO;LD;Thunder Bay;10/11/2002;17;Left Handed;None;19;11;15;1;20;1;1;1;1;6;1;1;12;8;1;1;1;8;4;3;1;1;8;10;3;3;1;3;1;4;7;1;3;4;6;6;1;1;1;1;1;
79;Fabian Glanznig;Austria;12415;EC Die Adler Kitzbühel;Alps League;EC Die Adler Kitzbühel;Alps League;C;Bregenz;2/5/1990;30;Left Handed;None;19;0;9;1;1;1;12;20;9;12;9;6;8;5;8;6;9;11;10;5;3;6;10;6;6;4;7;4;11;6;3;5;9;4;6;6;1;1;1;1;1;
80;Xiong Tang;Chinese Taipei;1187;Taipei Typhoon U20;Tpe U20;Taipei Typhoon U20;Tpe U20;LW;Taipei;3/4/2000;20;Right Handed;None;20;28;14;1;1;1;20;9;12;12;1;1;10;8;3;5;8;5;6;4;1;3;4;8;11;3;5;6;1;6;7;3;7;3;1;3;1;1;1;1;1;
81;Noah Subban;Canada;1500;North End Flames;HNO;North End Flames;HNO;RW;Thunder Bay;3/2/2004;16;Right Handed;None;14;19;18;1;1;1;12;1;20;2;12;11;9;11;10;12;10;10;8;6;1;1;4;3;3;5;3;8;1;4;5;4;5;2;7;4;1;1;1;1;1;
82;Johnnie Krug;United States;5312;Marquette;HS-WI;Marquette;HS-WI;RW;Marquette;10/2/2004;15;Right Handed;None;20;49;11;1;1;1;12;9;20;10;11;19;5;10;14;10;12;8;5;5;5;5;5;9;10;5;7;1;1;3;2;2;4;4;3;5;1;1;1;1;1;
83;Cooper Parker;United States;5312;Duluth East;HS-MN;Duluth East;HS-MN;C;Duluth;3/23/2003;16;Right Handed;None;1;71;14;1;1;1;9;20;12;7;11;14;4;8;3;12;4;14;8;5;1;1;16;12;6;1;4;4;8;3;6;2;1;1;2;5;1;1;1;1;1;
84;Michael Grabner;Austria;116745;San Jose Sharks;NHL;San Jose Sharks;NHL;LW, RW;Villach;10/5/1987;32;Left Handed;Major Junior;7;40;11;1;1;1;19;10;20;5;13;8;13;9;13;10;15;19;16;12;5;9;17;11;8;16;9;14;8;8;12;16;17;13;12;14;1;1;1;1;1;
85;Steven Ward;United States;6535;Blake;HS-MN;Blake;HS-MN;RD;Hopkins;6/4/2003;16;Right Handed;None;1;29;13;1;15;20;1;1;1;10;11;8;7;10;8;9;14;8;11;8;1;6;9;10;4;5;8;4;1;6;6;6;7;5;4;5;1;1;1;1;1;
86;Chase Gardiman;Canada;8580;Whitby Fury;OJHL;Whitby Fury;OJHL;G;Thunder Bay;7/13/2003;16;Left Handed;None;20;31;16;20;1;1;1;1;1;3;8;12;2;10;11;1;17;5;12;12;5;1;10;10;5;1;1;1;1;1;7;11;12;1;7;1;9;10;4;7;8;
